69,36416184971098
68,57142857142857
70,17543859649122
71,00591715976331
68,96551724137932
67,0391061452514
64,51612903225806
66,29834254143645
66,29834254143645
71,8562874251497
73,17073170731707
65,93406593406593
66,66666666666666
67,0391061452514
56,074766355140184
86,95652173913044
67,41573033707866
67,79661016949152
67,0391061452514
69,36416184971098
71,42857142857143
71,42857142857143
71,00591715976331
67,0391061452514
68,18181818181817
67,41573033707866
68,18181818181817
71,42857142857143
68,18181818181817
66,66666666666666
67,41573033707866
64,51612903225806
63,829787234042556
70,17543859649122
67,79661016949152
68,57142857142857
69,76744186046511
66,66666666666666
67,79661016949152
68,96551724137932
71,00591715976331
69,36416184971098
70,17543859649122
66,29834254143645
63,829787234042556
65,21739130434783
65,21739130434783
70,17543859649122
70,17543859649122
69,76744186046511
67,0391061452514
68,18181818181817
68,96551724137932
69,76744186046511
69,36416184971098
69,36416184971098
